city,brand,model,type,cc,color,km,year,price
Madrid,KTM,1090 Adventure,Trail,1050,,,2017,11999
Madrid,DUCATI,MONSTER 796,Naked,796,,8000,2011,6999
Madrid,SUZUKI,Intruder M800,Custom,800,,,2017,7890
Madrid,YAMAHA,MT-07,Naked,689,,,2016,6399
Madrid,KTM,RC,Sport,125,,,2017,3890
Madrid,KTM,125,Naked,125,MOTO NUEVA CON ABS,,2017,4450
Madrid,HONDA,CRF1000L Africa Twin,Trail,998,,,2017,12999
Granada,HONDA,CB 600F HORNET,Naked,599,DORADO,42000,2008,3750
Ciudad Real,SUZUKI,Intruder VS 800,Custom,800,azul,48000,1993,3299
Granada,BMW,R 1200 GS Adventure 105cv,Trail,1170,ROJO,115000,2007,9900
Ciudad Real,BMW,F 700 GS,Trail,798,Rojo Racing,,2016,9815
Guipuzcoa,HARLEY DAVIDSON,CVO Road King,Turismo,1801,azul,4251,2008,1000
Madrid,PIAGGIO,VESPA GTS 250,Scooters +125cc,244,negro,40000,2005,1900
Vizcaya,DUCATI,MULTISTRADA 1000 DS,Trail,992,ROJO,90000,2006,4000
Vizcaya,HARLEY DAVIDSON,Softail Heritage Softail Classic,Custom,1584,blanca-verde,78000,2007,10000
Barcelona,KTM,300 EXC,Enduro,293,naranja,2600,2016,6950
Madrid,HONDA,CBF 250,Naked,249,Rojo,24000,2004,1300
Cordoba,APRILIA,RS 50,Sport,50,Negro,24000,2005,350
A Coruna,HYOSUNG,GV 125 AQUILA,Custom,124,negro-naranja,14700,2008,1800
Madrid,KTM,990 ADVENTURE,Trail,999,,54000,2009,7000
Avila,HUSQVARNA,TE 250,Enduro,249,Blanco,4000,2015,5500
Tarragona,YAMAHA,FZ6 S,Turismo,600,Azul,42000,2005,2990
Murcia,YAMAHA,TMAX 530,Scooters +125cc,530,negro,7000,2016,9195
Madrid,HONDA,CB 600F HORNET,Naked,600,negra,50500,2005,2500
Madrid,SUZUKI,SV 650 S,Sport,645,azul,30000,2008,2600
A Coruna,BMW,R 1200 GS,Trail,1170,,112000,2004,6800
A Coruna,BULTACO,Brinco S,Ciclomotor,,Rojo,112,2016,4000
Salamanca,BMW,F 700 GS,Trail,798,GRIS SINGAPUR,87,2017,8995
Zaragoza,MASH,ADVENTURE 500,Trail,400,GRIS,,2016,4999
Murcia,HARLEY DAVIDSON,Softail Heritage Softail Classic,Custom,1584,NEGRO,60536,2000,11000
Murcia,HARLEY DAVIDSON,Softail Heritage Softail Classic,Custom,1340,AZUL,21641,1999,10500
Zaragoza,PIAGGIO,MP3,Scooters +125cc,278,GRIS MATE,5,2016,5499
Madrid,BULTACO,Lobito 50,Ciclomotor,49,AMARILLA,1,1972,2500
Madrid,KAWASAKI,ER 5,Naked,499,negra,30000,2006,2690
Barcelona,APRILIA,RXV 450,Enduro,449,rojo,1,2013,4990
Barcelona,APRILIA,RS4 125 Replica,Sport,125,BLANCO,,2016,3995
Barcelona,APRILIA,Dorsoduro 1200 ABS ATC,Supermotard,1197,negro,,2015,11599
Barcelona,APRILIA,ATLANTIC 125,Scooter 125cc,124,,,2015,2599
Barcelona,HANWAY,Raw125,Naked,123,BLANCO/NARAMJA,,2016,1399
Malaga,HONDA,Integra,Scooters +125cc,745,gris-azul limited edition,1,2017,8840
Barcelona,YAMAHA,FZ6 N,Naked,600,"negro mate, rojo, relieves",40000,2006,2600
Tarragona,YAMAHA,TMAX 530,Scooters +125cc,530,negro mate,7500,2015,10500
Burgos,KTM,EXC 250,Enduro,249,,2900,2012,4800
Madrid,APRILIA,Leonardo 125,Scooter 125cc,125,plata,78117,1997,700
Madrid,HONDA,Transalp XL 700 V ABS,Trail,680,Blanco,17500,2012,5900
Madrid,KEEWAY,RKV 125,Naked,124,BLANCO,8000,2015,1250
Madrid,SUZUKI,GSX 600F,Turismo,599,Azul,29091,2000,2500
Zaragoza,HARLEY DAVIDSON,Sportster 1200 Custom,Custom,1202,,21000,2002,7000
Las Palmas,HONDA,CB 600F HORNET,Naked,600,negro,50000,2006,2500
Sevilla,DUCATI,MULTISTRADA 1200 S Touring,Trail,1198,rojo,25700,2010,12450
Granada,VESPA,PX 125,Scooter 125cc,123,,18000,2006,2000
Sevilla,HONDA,CBF 600N,Naked,599,blanca,30100,2005,3000
Pontevedra,HONDA,Shadow VT 125 C,Custom,125,negro,15780,2006,2700
Barcelona,KTM,990 SUPERMOTO T,Supermotard,999,NARANJA,37000,2009,6500
Barcelona,HONDA,SCOOPY SH125,Scooter 125cc,125,,48500,2005,1000
Valencia,SUZUKI,Bandit 600,Naked,600,Azul,49999,2004,1950
Barcelona,YAMAHA,X MAX 400,Scooters +125cc,395,Gris Mate,18000,2013,4350
Leon,SUZUKI,GS 500F,Turismo,487,azul,23000,2007,2400
Madrid,HONDA,VT 750 C SHADOW,Custom,745,Negra,10960,2008,4500
Valencia,HONDA,VFR 800 FI,Sport,782,gris,47570,2009,6700
Sevilla,HARLEY DAVIDSON,Sportster XL1200 CA,Custom,1200,Naranja,5300,2014,10990
Zaragoza,PIAGGIO,LIBERTY,Scooter 125cc,124,GRIS MATE,10,2016,2299
Granada,KYMCO,Super Dink 125i,Scooter 125cc,125,BLANCO,5288,2014,2559
Madrid,PIAGGIO,LIBERTY 125 4T,Scooter 125cc,124,,4999,2015,1500
Barcelona,YAMAHA,X MAX 125,Scooter 125cc,124,Gris Oscuro,28870,2007,1900
Zaragoza,PIAGGIO,FLY 125,Scooter 125cc,124,NEGRO,12,2015,1899
Murcia,BMW,R 1200 S,Turismo,1170,Negro,49000,2006,3850
Madrid,KTM,125,Naked,125,Naranja,10295,2015,3190
Pontevedra,BMW,R 1100 GS,Turismo,1100,BLANCO Y AZUL,121000,1996,6500
Valencia,TRIUMPH,BONNEVILLE T100,Naked,865,azul,1908,2015,8250
Valencia,APRILIA,RX 125,Enduro,125,BLANCO Y ROJO,9200,2014,3200
Guipuzcoa,YAMAHA,MT-07,Naked,689,,11200,2014,5800
Barcelona,KYMCO,K-XCT 125i,Scooter 125cc,124,ROJO MATE,5800,2015,2990
Madrid,MOTO GUZZI,Audace,Custom,1380,Rojo,,2016,14990
Valladolid,YAMAHA,YBR 125 Clasic SP,Custom,124,NEGRO,6500,2011,1500
Madrid,BMW,R 1200 GS 105cv,Trail,1170,GRIS,77000,2008,9299
Madrid,BMW,K 1600 GT,Turismo,1649,blanco,19000,2011,16999
Leon,HONDA,VT 750 C SHADOW,Custom,745,Negro,16500,2007,4999
Madrid,BMW,K 1200 LT,Turismo,1171,GRIS,32000,2005,10999
Madrid,BMW,C 650 GT,Scooters +125cc,647,BLANCO,4000,2016,10299
Barcelona,YAMAHA,T-Max 500 Sport,Scooters +125cc,499,,30154,2012,6999
Baleares,HARLEY DAVIDSON,Softail Fat Boy Special,Custom,1584,negro mate,12500,2015,18500
Barcelona,SUZUKI,Intruder M800,Custom,805,negro,78000,2006,1900
Almeria,KAWASAKI,ZX 6R,Sport,599,,34000,2009,4495
Tarragona,BMW,F 700 GS,Trail,798,Plata,24500,2015,7400
Sevilla,BMW,K 100 RS ABS,Turismo,1000,Gris,112600,1991,2400
Madrid,KAWASAKI,ZEPHYR 750,Sport,750,,87000,1992,3500
Girona,GAS GAS,EC 250 2T,Enduro,249,blanca,3300,2008,2900
Zaragoza,HYOSUNG,GT 650i,Naked,647,Negro,9502,2011,2500
Segovia,SUZUKI,GSX R600,Sport,599,,32650,2004,3200
Madrid,YAMAHA,FZ6 N,Naked,600,naranja y negro,74000,2006,2650
Barcelona,BMW,K 1300 S,Sport,1293,Blanco,38500,2010,9000
Barcelona,TRIUMPH,SPRINT ST 955i,Turismo,955,azul,69300,2003,1750
Barcelona,VICTORY,Gunner,Custom,1731,verde militar,4000,2016,12500
Burgos,KTM,EXC 200,Enduro,193,,1500,2005,2000
Barcelona,HONDA,CBR 1000RR,Sport,998,blanca roja y azul,45000,2004,3800
Valladolid,YAMAHA,YZF R 125,Sport,124,Azul,22100,2008,1950
Valencia,DERBI,Senda DRD PRO 50 SM,Supermotard,49,Negro,13200,2008,2100
Cadiz,BMW,K 1200 S,Turismo,1157,gris,48000,2005,5200
Cordoba,BMW,F 650 GS,Trail,798,Negro,10500,2005,4200
Madrid,HONDA,TRANSALP XL 650 V,Trail,647,Azul,12000,2003,3500
Madrid,HARLEY DAVIDSON,Sportster 883R,Custom,883,Naranja,27000,2007,6950
Barcelona,HARLEY DAVIDSON,Sportster 883,Custom,883,negra,29900,2011,6000
Madrid,HARLEY DAVIDSON,Sportster 883 Iron,Custom,883,Negro,7000,2014,9300
Madrid,BMW,K 1200 R,Naked,1157,Gris,19000,2006,6350
Madrid,YAMAHA,X MAX 250 ABS,Scooters +125cc,250,Negro,13000,2013,3950
Madrid,YAMAHA,T-Max Tech Max ABS,Scooters +125cc,499,Gris mate,51000,2011,5950
Madrid,SUZUKI,BURGMAN 125,Scooter 125cc,125,BLANCO,15800,2013,2600
Madrid,YAMAHA,T-Max 530 ABS,Scooters +125cc,530,Negro mate,16000,2013,8450
Madrid,YAMAHA,T-Max 500 ABS,Scooters +125cc,499,Negro,41000,2007,4100
Granada,BMW,R 1200 GS,Trail,1170,,,2015,266
Caceres,ROYAL ENFIELD,Military 500,Turismo,499,MILITARY  BATTLE GREEN,1,2015,4649
Madrid,KYMCO,Agility 125,Scooter 125cc,125,Negra,2000,2016,1400
Toledo,KEEWAY,Silverblade 250 EFI,Scooters +125cc,250,BLANCO,,2015,2499
Valencia,HONDA,SH Mode 125,Scooter 125cc,125,negro,1,2016,2479
Madrid,BMW,S 1000 RR,Sport,999,Gris,3100,2011,12999
Valencia,INDIAN,Roadmaster,Custom,1811,GRIS,,2015,32000
Madrid,BMW,K 1200 S,Turismo,1157,azul,46000,2006,6900
Madrid,SUZUKI,GSX R1000,Sport,999,NEGRO,23000,2008,7000
Valencia,HARLEY DAVIDSON,Touring Road King 1500,Turismo,1500,,120000,1996,11000
Malaga,HARLEY DAVIDSON,CVO Screeming Eagle Dyna,Custom,1800,ROJO,3161,2007,17899
Barcelona,MV AGUSTA,Turismo Veloce 800,Turismo,798,ROJO,14500,2015,14250
Madrid,HONDA,FORZA 250 X,Scooters +125cc,250,,43200,2007,1599
Barcelona,HONDA,CB 600 F,Naked,599,Azul,43000,2004,2400
Barcelona,TRIUMPH,Thunderbird Storm,Custom,1699,NEGRO,10500,2013,12500
Madrid,KYMCO,Super Dink 300I ABS,Scooters +125cc,299,Blanca,22000,2014,2900
Madrid,BMW,K 1200 GT,Turismo,1171,azul metalizado,67000,2003,5500
Sevilla,KTM,EXC 250 F,Enduro,248,naranja,3000,2008,3400
Zaragoza,BMW,F 650 FL,Trail,652,,70500,2000,1800
Sevilla,DAELIM,Besbi 125,Scooter 125cc,124,,18000,2008,880
Girona,HONDA,PAN-EUROPEAN ST 1100,Turismo,1100,,118425,1992,2380
Barcelona,YAMAHA,FZ6 N,Naked,600,Silver Storm,51800,2006,2500
Albacete,TRIUMPH,Bonneville,Naked,900,Negro,870,2007,6950
Barcelona,KTM,EXC 450,Enduro,449,naranja / negro,9000,2010,3700
Malaga,KEEWAY,Landcruiser 250,Custom,248,"Gris,negra",5500,2008,1400
Valencia,BMW,R 850 R,Naked,848,negro,90000,1997,4700
Barcelona,DUCATI,MONSTER 796,Naked,803,rojo,15200,2013,6800
Madrid,KYMCO,Super Dink 300I ABS,Scooters +125cc,299,Titanio,24000,2013,2899
Madrid,KYMCO,Grand Dink 250,Scooters +125cc,250,Gris,36600,2001,950
Barcelona,HARLEY DAVIDSON,Sportster 883 XLH 53,Custom,883,Amarillo,50000,2001,6950
Madrid,PIAGGIO,Sfera 75,Scooter 125cc,75,Azul y Roja,,1992,600
Madrid,HONDA,CBR 600F,Sport,599,gris,40000,2007,3000
Madrid,BMW,G 650 Xcountry,Trail,652,amarilla,65000,2008,4100
Madrid,HONDA,VFR 800 FI,Sport,782,Granate,35998,2008,6450
Girona,KTM,EXC 250,Enduro,249,naranja,16000,2009,4300
Zaragoza,BMW,G 650 GS,Trail,652,Amarillo,33000,2013,5000
Murcia,YAMAHA,MT 09,Trail,847,Lava Red,2300,2016,9300
Cordoba,KAWASAKI,NINJA 250 R,Sport,249,Blanca y Negra,8000,2011,2999
Albacete,YAMAHA,Aerox 50,Scooters 50cc,49,blanca amarilla y negra,31000,1999,400
Madrid,HONDA,CBR 125R,Sport,125,Azul,18500,2005,1200
Valencia,HARLEY DAVIDSON,Dyna Super Glide,Custom,1340,negro,21736,2005,9250
Valencia,YAMAHA,MT-09 SPORT TRACKER,Naked,847,gris,8765,2015,7499
Madrid,YAMAHA,Majesty 400,Scooters +125cc,395,BLANCO,20000,2012,4490
Asturias,RIEJU,MRT 50 Pro,Enduro,50,Negro/verde,8200,2014,2300
Madrid,PIAGGIO,X9 250,Scooters +125cc,249,,48000,2004,1299
Valencia,KYMCO,Xciting 250,Scooters +125cc,249,negro,30000,2006,1999
Madrid,KTM,DUKE 200,Naked,200,NEGRO,18000,2012,2800
Valencia,SUZUKI,BURGMAN 200,Scooters +125cc,200,gris,21923,2009,2100
Guipuzcoa,PIAGGIO,X9 250,Scooters +125cc,249,,26450,2006,1600
Malaga,HONDA,VT 750 S,Custom,745,GRIS ANTRACITA,13201,2010,4999
Asturias,HARLEY DAVIDSON,Sportster 883 Custom,Custom,883,negro mate,3200,2012,7000
Madrid,PIAGGIO,beverly Sport Touring 350 ie,Scooters +125cc,330,PLATA,24800,2013,3200
Jaen,BMW,R 1200 GS,Trail,1170,,42500,2011,11250
Albacete,SUZUKI,GSX R600,Sport,599,Blanca-azul,11000,2009,6200
Madrid,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,gris grafito,38000,2008,4900
Malaga,BMW,F 800 ST,Turismo,798,Negro,21000,2011,6500
Zaragoza,PIAGGIO,MP3 LT 500 Touring,Scooters +125cc,493,azul,2000,2011,7000
Leon,TRIUMPH,SPEED TRIPLE,Naked,955,,36000,2005,3650
Jaen,YAMAHA,XT 125 X Supermotard,Supermotard,124,Rojo/negro,6000,2007,1990
Barcelona,HONDA,SFX 50,Scooters 50cc,50,rojo,26500,2004,375
Asturias,HYOSUNG,GT 250i COMET,Naked,249,Negro,14000,2012,1400
A Coruna,VESPA,Iris 125,Scooter 125cc,125,Verde carducci,200,1970,4500
Barcelona,TRIUMPH,Thruxton,Naked,1200,BLANCO,1600,2016,11500
Barcelona,YAMAHA,T-Max 530 ABS,Scooters +125cc,530,PLATA,1700,2016,10500
Granada,YAMAHA,FZ6 N,Naked,600,NEGRA,55000,2006,2990
Barcelona,BMW,F 800 ST,Turismo,798,gris,52000,2006,4499
Navarra,SUZUKI,Gladius 650 ABS,Naked,645,,27000,2010,4500
Las Palmas,HONDA,CB 600F HORNET,Naked,600,,32000,2005,3000
Caceres,KTM,EXC 450,Enduro,449,,5200,2014,5900
Madrid,YAMAHA,FZ6 S,Turismo,600,Azul,55000,2004,2100
Barcelona,HONDA,CBR 600 RR,Sport,599,negro,31800,2007,4300
Malaga,KAWASAKI,Z 750,Naked,748,negra,41600,2008,3500
Madrid,BUELL,Lightning XB 12S,Naked,1203,CHERRY,27000,2005,6000
Barcelona,YAMAHA,YBR 250,Naked,249,Negra,31000,2009,1500
Valencia,BMW,F 800 R,Naked,800,Blaca y negra,22600,2013,5800
Valencia,HONDA,CB 500F ABS,Naked,471,blanco,14938,2016,4740
Madrid,HONDA,CBR 500R,Sport,471,negro,8100,2015,4850
Madrid,KTM,690 SUPERMOTO,Supermotard,654,naranja,30000,2009,4400
Barcelona,SYM,HD 125 EVO,Scooter 125cc,124,gris,25000,2007,1600
Salamanca,HYOSUNG,GV 250 AQUILA,Custom,249,PLATA/ROJO,3100,2006,1650
Valencia,INDIAN,Scout,Custom,1133,NEGRO BRILLO,2700,2015,11990
Valencia,HONDA,Crossrunner VFR800X,Turismo,782,BLANCO,13700,2013,8900
Madrid,HONDA,PCX 125,Scooter 125cc,125,todos,,2014,2499
Asturias,SUZUKI,GSX R600,Sport,599,ROJO,38103,2000,1800
Madrid,HONDA,SCOOPY SH125,Scooter 125cc,125,BLANCO,17300,2007,1799
Madrid,HONDA,VFR 800 FI ABS,Sport,781,BLANCO,58483,2010,5999
Malaga,INDIAN,Chief,Custom,1811,,1,2016,21290
Madrid,HONDA,NC 750,Trail,750,5 COLORES DIFERENTES,,2016,8299
Malaga,SYM,JOYMAX 300i ABS,Scooters +125cc,278,GRIS,7366,2015,3500
Valencia,HONDA,PAN-EUROPEAN ST 1300 ABS,Turismo,1261,Varios,,2015,14900
Madrid,HONDA,NC 750,Trail,750,5 COLORES DIFERENTES,,2016,7399
Madrid,HONDA,NC 750,Trail,750,5 COLORES DIFERENTES,,2016,7399
Madrid,PIAGGIO,Medley,Scooter 125cc,124,TODOS,,2016,2999
Madrid,HONDA,NC 750 X,Trail,745,5 COLORES DIFERENTES,,2016,7399
Madrid,HONDA,NC 750 S,Naked,745,3 COLORES DIFERENTES,,2016,7290
Barcelona,YAMAHA,T-Max 530,Scooters +125cc,530,Negra,7000,2012,9200
Madrid,HONDA,Integra,Scooters +125cc,700,todos,,2014,7790
Barcelona,OSSA,250 Copa 77,Sport,250,amarillo,1,1977,4200
Madrid,HONDA,Forza 125,Scooter 125cc,125,todos,,2015,4699
Madrid,KYMCO,Grand Dink 125,Scooter 125cc,125,gris,44717,2012,1100
Madrid,HONDA,CBR 500R,Sport,471,4 COLORES DIFERENTES,,2016,5999
Las Palmas,HONDA,CBR 1000RR,Sport,1000,ROJA/NEGRA,30000,2008,7500
Madrid,HONDA,CB 650F ABS,Naked,649,5 COLORES DIFERENTES,,2016,7590
Madrid,HONDA,CB 500 X,Trail,471,4 COLORES DIFERENTES,,2016,5890
Caceres,HONDA,VFR 800 FI ABS,Sport,781,,34250,2007,5999
Cadiz,MOTO GUZZI,V7 II,Naked,744,Grigio,8000,2015,6999
Guipuzcoa,HONDA,MTX 125,Trail,125,,31150,1989,850
Valencia,KYMCO,Xciting 250,Scooters +125cc,249,AZUL,56300,2005,1450
Madrid,DUCATI,MONSTER S2R 800,Naked,800,Rojo/Blanco,13000,2007,4550
Barcelona,KAWASAKI,D-Tracker 125,Supermotard,125,NEGRA,5000,2014,2300
Barcelona,SUZUKI,GS 500 E,Naked,487,AZUL,42000,2002,2490
Barcelona,SUZUKI,GS 500F,Turismo,487,AZUL,31000,2007,2950
Madrid,DERBI,RAMBLA 125,Scooter 125cc,124,negro,19195,2011,1500
Barcelona,SUZUKI,GSR 600,Naked,599,BLANCA,50000,2007,3750
Madrid,DAELIM,Roadwin 125 FI,Naked,124,negra,20000,2007,1190
Barcelona,SUZUKI,Sixteen 125,Scooter 125cc,124,BLANCA,25500,2008,1990
Alicante,MASH,SEVENTY FIVE ,Con marchas,125,BLANCO/AZUL,710,2016,1850
Madrid,KAWASAKI,ZXR 400,Sport,400,NEGRO,33897,1994,2350
A Coruna,YAMAHA,T-Max 500 ABS,Scooters +125cc,499,NEGRO,41325,2008,5199
Madrid,HONDA,Shadow VT 125 C,Custom,125,negro,4400,2005,2100
Guipuzcoa,YAMAHA,XV 250 Virago,Custom,248,negra,23000,2000,1890
Caceres,SUZUKI,BURGMAN 400,Scooters +125cc,400,"NEGRO MATE, BLANCO, GRIS MATE",1,2015,5999
Guipuzcoa,HONDA,S-WING 150,Scooters +125cc,150,NEGRO,22571,2008,2300
Caceres,SUZUKI,BURGMAN 200,Scooter 125cc,200,"GRIS MATE, NEGRO, BLANCO, PLATA MATE",1,2015,4199
Madrid,KEEWAY,Superlight 125,Custom,124,,13900,2015,1550
Cantabria,BMW,K 1300 S,Sport,1293,Gris,31000,2010,12000
Alicante,BMW,F 650,Trail,652,,26000,2006,4000
Madrid,KTM,EXC 250 F,Enduro,248,,2000,2002,1900
Madrid,KAWASAKI,ZXR 750,Sport,750,bicolor,44000,1992,1600
Jaen,YAMAHA,SR 250 Classic,Turismo,249,,11692,1997,750
Barcelona,APRILIA,Arrecife 500,Scooters +125cc,460,azul,63000,2004,1200
Madrid,KYMCO,Grand Dink 125,Scooter 125cc,125,,1,2016,3699
Madrid,KYMCO,Super Dink 125i ABS,Scooter 125cc,125,,36500,2012,2200
Madrid,KYMCO,Zing II 125,Custom,124,,3500,2006,1200
Guipuzcoa,YAMAHA,XSR900,Naked,847,plata mate,7000,2016,8900
Madrid,MONTESA,Cota 309,Trial,250,,1000,1989,850
Madrid,MV AGUSTA,BRUTALE 910S,Naked,909,,34100,2007,5700
Madrid,PIAGGIO,beverly 250,Scooters +125cc,244,,43400,2005,1500
Madrid,PIAGGIO,LIBERTY 125 4T,Scooter 125cc,124,,32158,2006,1100
Madrid,PIAGGIO,X10 350 Executive,Scooters +125cc,330,,51664,2013,3900
Madrid,PIAGGIO,X7 EVO 300 ie,Scooters +125cc,278,,16200,2010,2300
Madrid,SUZUKI,AN 400 Burgman,Scooters +125cc,385,,26000,2005,2450
Sta. C. Tenerife,BMW,R 1200 GS Adventure,Trail,1170,Roja,6390,2016,18900
Madrid,SUZUKI,GS 500,Naked,500,,47000,1996,1350
Madrid,SUZUKI,GSR 600,Naked,599,,70000,2006,2300
Madrid,APRILIA,Arrecife 125,Scooter 125cc,124,AZUL,14000,2007,1400
Ciudad Real,TRIUMPH,TIGER 1050 Sport,Trail,1050,Rojo,26600,2014,9500
Tarragona,HONDA,XL 125V Varadero Deluxe,Trail,125,negra y dorada,2300,2010,3800
La Rioja,BMW,F 650 GS,Trail,798,rojo,34500,2009,5500
Sevilla,YAMAHA,Majesty 400,Scooters +125cc,395,gris - moka,27000,2009,3100
Barcelona,HONDA,FMX 650,Supermotard,644,,20000,2009,3000
Madrid,BMW,F 800 R,Naked,800,gris y negra,44000,2011,5200
Murcia,HARLEY DAVIDSON,Touring Electra Glide Ultra Classic,Turismo,1584,AZUL,42449,2009,19000
Girona,SUZUKI,GSX 650 F,Turismo,650,,23000,2008,4300
Madrid,SUZUKI,Bandit 650 S,Turismo,656,burdeos,20000,2007,3490
Madrid,HONDA,CBR 600 RR,Sport,599,NEGRA,15000,2009,5500
Madrid,SUZUKI,Intruder C800,Custom,805,NEGRO,7000,2012,6490
Madrid,SUZUKI,GSX R600,Sport,599,NEGRO,38000,2010,5790
Madrid,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,NEGRO,12000,2011,5990
Madrid,PIAGGIO,LIBERTY 124 4T,Scooter 125cc,124,AZUL OSCURO,12000,2008,1100
Madrid,PIAGGIO,MP3 LT 500 Business,Scooters +125cc,493,BLANCO,3800,2013,6990
Madrid,MV AGUSTA,BRUTALE 800,Naked,798,BLANCO,11500,2013,7990
Madrid,KAWASAKI,Z 750 ABS,Naked,748,VERDE,20300,2013,4990
Madrid,HONDA,VTR SP 2,Sport,999,NEGRA/ROJA,18000,2006,11990
Madrid,HONDA,Integra,Scooters +125cc,745,GRIS,29000,2014,6490
Madrid,HONDA,CBR 600F,Sport,599,BLANCA,73000,2012,3790
Madrid,HONDA,CBR 125R,Sport,125,REPSOL,10000,2013,2690
Madrid,PIAGGIO,X EVO 125,Scooter 125cc,124,NEGRA,1500,2015,2100
Madrid,BMW,R 1200 R,Naked,1170,NEGRA,48000,2011,8990
Madrid,HARLEY DAVIDSON,Touring Electra Glide Ultra Limited,Turismo,1690,NEGRO/GRIS,7400,2014,25990
Valencia,DAELIM,Daystar,Custom,247,"negro, blanco negro.",,2014,2999
Leon,KTM,RC8 1190,Sport,1190,Blanco,29000,2010,7100
Madrid,BMW,R 1200 R,Naked,1170,NEGRO,30000,2010,8990
Madrid,APRILIA,Tuono 1000 R,Naked,997,BLANCO/ROJO,38000,2008,4990
Madrid,YAMAHA,XT 1200 Z Super Tenere,Trail,1199,GRIS,2200,2016,13490
Malaga,YAMAHA,XT 660 R,Trail,660,azul,35000,2005,3250
Sevilla,BMW,R 1200 R,Turismo,1170,blanco-azul,5800,2015,14250
Toledo,HONDA,CBR 600 RR,Sport,599,rojo negro blanco,27000,2008,5500
Madrid,BMW,C 600 Sport,Scooters +125cc,647,NEGRO,15000,2014,6790
Huelva,HONDA,VFR 800 FI,Sport,781,rojo/negro,65000,2002,4000
Madrid,DAELIM,Besbi 125,Scooter 125cc,124,NEGRA,12000,2008,900
Las Palmas,HARLEY DAVIDSON,Dyna Super Glide Custom,Custom,1584,Aniversary Edition,10509,2013,14995
Madrid,KYMCO,Super Dink 125i,Scooter 125cc,125,AZUL,20000,2010,1800
Barcelona,KAWASAKI,Z 750,Naked,748,Negro-Verde,78000,2009,3300
Madrid,HONDA,CMX Rebel 250,Custom,234,Negro,23000,1998,1200
Almeria,SUZUKI,GSF Bandit 650,Naked,656,Negro,45000,2006,2500
Barcelona,PIAGGIO,X8 125,Scooter 125cc,124,Gris Plata,32000,2004,1000
Barcelona,YAMAHA,T-Max 500,Scooters +125cc,499,BLANCO,28000,2009,6200
Castellon,HARLEY DAVIDSON,Touring Road King,Turismo,1340,Negro,67000,2005,13500
Toledo,TRIUMPH,DAYTONA 675 SE,Sport,675,negra-dorada,21000,2008,5300
Madrid,YAMAHA,NMAX,Scooter 125cc,125,negro y gris,2990,2016,2599
Valladolid,HONDA,FORZA 250 EX,Scooters +125cc,250,,40500,2008,1700
Madrid,KAWASAKI,Ninja H2,Sport,998,ESPEJO,10000,2015,18890
Valencia,HONDA,CB 500F ABS,Naked,471,consultar,1,2017,5895
Madrid,KYMCO,Super Dink 125i,Scooter 125cc,125,GRIS,20000,2010,2000
Madrid,BETA,EVO 2T 300,Trial,296,,500,2015,4590
Madrid,BETA,EVO 2T 300,Trial,296,,200,2016,4890
Valencia,SUZUKI,BURGMAN 400,Scooters +125cc,399,GRIS,46000,2006,2990
Malaga,HONDA,CBR 600 RR,Sport,599,BICOLOR,29596,2007,5300
Madrid,HONDA,Crossrunner VFR800X,Turismo,782,GRANATE,2030,2015,11499
Malaga,HONDA,Transalp XL 700 V,Trail,680,BICOLOR,61443,2008,3800
Valencia,KAWASAKI,VN 1700 Voyager,Custom,1700,GRIS,59900,2014,13700
Madrid,KYMCO,K-XCT 125i,Scooter 125cc,124,ROJO MATE,5800,2015,2990
Malaga,SUZUKI,Intruder C800,Custom,805,negro,36072,2009,5000
Madrid,SUZUKI,BURGMAN 125,Scooter 125cc,125,Negro,6300,2012,2400
Madrid,KTM,690 DUKE,Naked,690,BLANCO,6596,2013,5840
Madrid,HONDA,PCX 125,Scooter 125cc,125,ROJO,3900,2015,2299
Madrid,KAWASAKI,VN 900 CLASSIC,Custom,903,,52185,2010,5299
Madrid,KAWASAKI,Versys,Trail,649,,66557,2007,3199
Madrid,HYOSUNG,GV 250 AQUILA,Custom,249,,37691,2004,1599
Madrid,PIAGGIO,X7 EVO 125 ie,Scooter 125cc,124,ROJO,31500,2011,1940
Jaen,APRILIA,Arrecife 500 Sprint,Scooters +125cc,460,GRIS TITANIO,14918,2006,2790
Madrid,BMW,F 800 ST,Turismo,798,Negro,42000,2011,5050
Murcia,SYM,GTS 125 EVO,Scooter 125cc,125,,35000,2011,1100
Valencia,HARLEY DAVIDSON,Sportster 883 Low,Custom,883,,25417,2006,7500
Barcelona,DUCATI,MONSTER 796 ABS,Naked,803,Blanco,11603,2012,7000
Zaragoza,SYM,MAXSYM 400i ABS,Scooters +125cc,393,Blanca,4600,2015,4850
Barcelona,GAS GAS,EC 125,Enduro,124,roja y blanca,2500,2005,3000
Caceres,KTM,SX 85,Cross,85,,1,2008,1450
Malaga,MV AGUSTA,BRUTALE 989 R,Naked,982,Rojo,24500,2009,7490
Zaragoza,PIAGGIO,MP3,Scooters +125cc,492,BLANCO,12,2014,8499
Valencia,SUZUKI,BURGMAN 200 ABS,Scooter 125cc,200,negra,1000,2016,3400
Sevilla,SUZUKI,SV 650,Naked,650,BLANCA,1200,2016,5999
