city;brand;model;type;cc;color;km;year;price;url
Madrid;KYMCO;Super Dink 125i;Scooter 125cc;125;Todos;;2015;3499;http://motos.net/ocasion/kymco/super_dink_125i/2015-en-madrid-6455437.htm
Madrid;KYMCO;Super Dink 125i;Scooter 125cc;125;Todos;;2015;3499;http://motos.net/ocasion/kymco/super_dink_125i/2015-en-madrid-6455438.htm
Madrid;KYMCO;Super Dink 125i;Scooter 125cc;125;Todos;;2015;3499;http://motos.net/ocasion/kymco/super_dink_125i/2015-en-madrid-6455439.htm
Madrid;KYMCO;Super Dink 125i;Scooter 125cc;125;Todos;;2015;3499;http://motos.net/ocasion/kymco/super_dink_125i/2015-en-madrid-6455440.htm
Madrid;KYMCO;Super Dink 125i;Scooter 125cc;125;Todos;;2015;3499;http://motos.net/ocasion/kymco/super_dink_125i/2015-en-madrid-6455441.htm
Madrid;KTM;RC;Sport;125;NARANJA;;2017;4449;http://motos.net/ocasion/ktm/rc/125-2017-en-madrid-6428550.htm
Barcelona;SUZUKI;GSF Bandit 650 S;Turismo;656;Negro brillante;47378;2006;3499;http://motos.net/ocasion/suzuki/gsf_bandit_650_s/2006-en-barcelona-6466131.htm
Zaragoza;KTM;RC;Sport;125;negra y blanca;1900;2016;3500;http://motos.net/ocasion/ktm/rc/125-2016-en-zaragoza-6466114.htm
Granada;HONDA;CR 125 R;Cross;125;Roja/blanca;;2003;1900;http://motos.net/ocasion/honda/cr_125_r/2003-en-granada-6466067.htm
Barcelona;YAMAHA;T-Max 500 Sport ABS;Scooters +125cc;499;Negro;16500;2011;658;http://motos.net/ocasion/yamaha/t__max_500_sport_abs/2011-en-barcelona-6466087.htm
Barcelona;BMW;C 650 GT;Scooters +125cc;647;;22000;2014;7900;http://motos.net/ocasion/bmw/c_650_gt/2014-en-barcelona-6358458.htm
Madrid;KTM;125;Naked;125;NARANJA;;2017;4499;http://motos.net/ocasion/ktm/125/duke_abs-2017-en-madrid-6414628.htm
Barcelona;HARLEY DAVIDSON;Softail Heritage Softail;Custom;1449;;64000;1995;10000;http://motos.net/ocasion/harley_davidson/softail_heritage_softail/1995-en-barcelona-6466038.htm
Madrid;HONDA;NC 750;Trail;750;5 COLORES DIFERENTES;;2016;8299;http://motos.net/ocasion/honda/nc_750/x_dtc_abs-2016-en-madrid-6413892.htm
Madrid;HONDA;NC 750;Trail;750;5 COLORES DIFERENTES;;2016;7399;http://motos.net/ocasion/honda/nc_750/x_abs-2016-en-madrid-6374194.htm
Madrid;DERBI;MULHACEN 125;Con marchas;124;NEGRO;31082;2008;1190;http://motos.net/ocasion/derbi/mulhacen_125/2008-en-madrid-6466118.htm
Malaga;YAMAHA;XT 660 R;Trail;660;azul;46308;2005;3499;http://motos.net/ocasion/yamaha/xt_660_r/2005-en-malaga-6466115.htm
Madrid;HONDA;NC 750 S;Naked;745;3 COLORES DIFERENTES;;2016;6690;http://motos.net/ocasion/honda/nc_750_s/abs-2016-en-madrid-6413896.htm
Madrid;HONDA;NC 750 S;Naked;745;3 COLORES DIFERENTES;;2016;7290;http://motos.net/ocasion/honda/nc_750_s/dtc_abs-2016-en-madrid-6413893.htm
Huesca;SUZUKI;Katana AY50;Scooters 50cc;49;Azul;4000;2005;600;http://motos.net/ocasion/suzuki/katana_ay50/2005-en-huesca-6466027.htm
Sevilla;KEEWAY;Silverblade 125 EFI;Scooter 125cc;125;negro;12732;2013;1699;http://motos.net/ocasion/keeway/silverblade_125_efi/2013-en-sevilla-6466110.htm
Toledo;KEEWAY;Silverblade 250 EFI;Scooters +125cc;250;BLANCO;;2015;2499;http://motos.net/ocasion/keeway/silverblade_250_efi/2015-en-toledo-6415036.htm
Madrid;DAELIM;Roadwin 125R Fi;Sport;124;todos;;2014;2899;http://motos.net/ocasion/daelim/roadwin_125r_fi/2014-en-madrid-6451817.htm
Barcelona;YAMAHA;X MAX 400;Scooters +125cc;395;Negro Brillante;13326;2015;5000;http://motos.net/ocasion/yamaha/x_max_400/abs-2015-en-barcelona-6466081.htm
Murcia;KYMCO;Xciting 500;Scooters +125cc;498;negro;8200;2005;2500;http://motos.net/ocasion/kymco/xciting_500/2005-en-murcia-6466092.htm
Madrid;DAELIM;Roadwin 125;Naked;124;NEGRO;22939;2015;1799;http://motos.net/ocasion/daelim/roadwin_125/2015-en-madrid-6395400.htm
Sevilla;HARLEY DAVIDSON;Sportster XR 1200;Custom;1200;NARANJA;47254;2008;8000;http://motos.net/ocasion/harley_davidson/sportster_xr_1200/2008-en-sevilla-6466108.htm
Madrid;APRILIA;Pegaso 650;Trail;652;Negra;35000;2004;2800;http://motos.net/ocasion/aprilia/pegaso_650/2004-en-madrid-6466077.htm
Barcelona;BMW;F 800 GT;Turismo;798;BLANCO;46450;2014;7990;http://motos.net/ocasion/bmw/f_800_gt/2014-en-barcelona-6439005.htm
Madrid;BMW;F 800 GS;Trail;798;;10700;2014;8300;http://motos.net/ocasion/bmw/f_800_gs/2014-en-madrid-6466080.htm
Madrid;DAELIM;Roadwin 125 FI;Naked;124;NEGRO;20308;2005;1299;http://motos.net/ocasion/daelim/roadwin_125_fi/2005-en-madrid-6441432.htm
Barcelona;KTM;EXC 250;Enduro;249;bco;5887;2015;5500;http://motos.net/ocasion/ktm/exc_250/2015-en-barcelona-6466043.htm
Valencia;YAMAHA;FJR 1300 A;Turismo;1298;Plata;;2013;16900;http://motos.net/ocasion/yamaha/fjr_1300_a/2013-en-valencia-5633688.htm
Madrid;KAWASAKI;Versys;Trail;649;2 colores;;2017;7899;http://motos.net/ocasion/kawasaki/versys/650_abs-2017-en-madrid-6466103.htm
Madrid;KAWASAKI;Versys;Trail;649;3 colores;;2016;6999;http://motos.net/ocasion/kawasaki/versys/650-2016-en-madrid-6466104.htm
Valencia;HONDA;VT 750 C SHADOW;Custom;745;BURDEOS;10000;2005;5000;http://motos.net/ocasion/honda/vt_750_c_shadow/2005-en-valencia-6341452.htm
Barcelona;HONDA;SCOOPY SH125i ABS;Scooter 125cc;125;NEGRO ROJO BLANCO;1;2017;3389;http://motos.net/ocasion/honda/scoopy_sh125i_abs/2017-en-barcelona-6466091.htm
Madrid;YAMAHA;T-Max 500 ABS;Scooters +125cc;499;gris-oro;48900;2006;3690;http://motos.net/ocasion/yamaha/t__max_500_abs/2006-en-madrid-6362296.htm
Barcelona;DUCATI;MULTISTRADA 1200;Trail;1199;ROJO;4145;2015;15990;http://motos.net/ocasion/ducati/multistrada_1200/2015-en-barcelona-6464217.htm
Madrid;APRILIA;SRV 850 ABS/ATC;Scooters +125cc;849;;21415;2013;6490;http://motos.net/ocasion/aprilia/srv_850_abs/atc/2013-en-madrid-6466088.htm
Barcelona;HONDA;CB 500F ABS;Naked;471;ROJO;22103;2014;4500;http://motos.net/ocasion/honda/cb_500f_abs/2014-en-barcelona-6466085.htm
Madrid;BMW;K 1600 GT;Turismo;1649;gris claro;31490;2012;16999;http://motos.net/ocasion/bmw/k_1600_gt/2012-en-madrid-6466083.htm
Madrid;BMW;R 1200 GS;Trail;1170;NEGRO;29400;2015;15500;http://motos.net/ocasion/bmw/r_1200_gs/2015-en-madrid-6466082.htm
Madrid;APRILIA;RX 125;Enduro;125;BLANCO Y ROJO;9200;2014;3400;http://motos.net/ocasion/aprilia/rx_125/2014-en-madrid-6272834.htm
Madrid;BMW;F 800 GT;Turismo;798;BLANCO;46450;2014;7990;http://motos.net/ocasion/bmw/f_800_gt/2014-en-madrid-6439224.htm
Asturias;APRILIA;SR Max 125;Scooter 125cc;125;Blanco;4290;2012;2100;http://motos.net/ocasion/aprilia/sr_max_125/2012-en-asturias-6466032.htm
Madrid;HYOSUNG;GT 250Ri COMET;Sport;249;;38000;2010;1000;http://motos.net/ocasion/hyosung/gt_250ri_comet/2010-en-madrid-6466072.htm
Leon;HARLEY DAVIDSON;Softail Cross Bones;Custom;1584;;14900;2009;17999;http://motos.net/ocasion/harley_davidson/softail_cross_bones/2009-en-leon-6466068.htm
Castellon;HONDA;CBR 600 RR;Sport;599;;23000;2006;3500;http://motos.net/ocasion/honda/cbr_600_rr/2006-en-castellon-6465941.htm
Valencia;SUZUKI;BURGMAN 400 A ABS;Scooters +125cc;400;blanco;35394;2012;4150;http://motos.net/ocasion/suzuki/burgman_400_a_abs/2012-en-valencia-6415816.htm
Sevilla;BMW;R 1200 RT;Turismo;1200;Negro;60000;2011;12800;http://motos.net/ocasion/bmw/r_1200_rt/2011-en-sevilla-6453525.htm
Caceres;VESPA;Iris 150;Scooter 125cc;150;;200;1970;2850;http://motos.net/ocasion/vespa/iris_150/1970-en-caceres-6465998.htm
Las Palmas;YAMAHA;YZF R6;Sport;600;Amarillo y blanco;59000;2004;2700;http://motos.net/ocasion/yamaha/yzf_r6/2004-en-las_palmas-6452669.htm
Malaga;KAWASAKI;J 300 SE;Scooters +125cc;300;Negro;7780;2014;3300;http://motos.net/ocasion/kawasaki/j_300_se/2014-en-malaga-6465688.htm
Las Palmas;BMW;S 1000 R;Sport;999;Black;8000;2016;13900;http://motos.net/ocasion/bmw/s_1000_r/2016-en-las_palmas-6424338.htm
Almeria;HONDA;CB 600F HORNET;Naked;600;;60000;2005;1950;http://motos.net/ocasion/honda/cb_600f_hornet/2005-en-almeria-6466075.htm
Barcelona;YAMAHA;T-Max 530;Scooters +125cc;530;Negro;56000;2013;7700;http://motos.net/ocasion/yamaha/t__max_530/2013-en-barcelona-6466040.htm
Valencia;SUZUKI;V-Strom 650 ABS;Trail;647;negra;195;2016;7999;http://motos.net/ocasion/suzuki/v__strom_650_abs/2016-en-valencia-6466070.htm
Madrid;PIAGGIO;MP3;Scooters +125cc;492;GRIS PLATA;132;2016;7600;http://motos.net/ocasion/piaggio/mp3/500_sport_abs/asr-2016-en-madrid-6187707.htm
Madrid;PIAGGIO;MP3;Scooters +125cc;492;;14375;2011;6200;http://motos.net/ocasion/piaggio/mp3/500_business-2011-en-madrid-6288086.htm
Madrid;PIAGGIO;MP3 125 RL;Scooter 125cc;124;gris;40401;2006;2200;http://motos.net/ocasion/piaggio/mp3_125_rl/2006-en-madrid-6125231.htm
Madrid;PIAGGIO;LIBERTY 50;Scooters 50cc;49;negro;19395;2003;600;http://motos.net/ocasion/piaggio/liberty_50/2003-en-madrid-6340942.htm
Madrid;PIAGGIO;beverly 200;Scooters +125cc;198;gris plata;81171;2002;650;http://motos.net/ocasion/piaggio/beverly_200/2002-en-madrid-6368551.htm
Madrid;BMW;S 1000 RR;Sport;999;BLANCA/AZUL;9250;2015;16500;http://motos.net/ocasion/bmw/s_1000_rr/2015-en-madrid-6466065.htm
Madrid;PEUGEOT;ELYSEO 150;Scooters +125cc;150;gris;40003;2002;800;http://motos.net/ocasion/peugeot/elyseo_150/2002-en-madrid-6344229.htm
Madrid;KYMCO;Vitality 50;Scooters 50cc;49;azul;13367;2010;600;http://motos.net/ocasion/kymco/vitality_50/2010-en-madrid-6343242.htm
Madrid;KYMCO;Super Dink 300i;Scooters +125cc;300;blanco;34493;2011;2600;http://motos.net/ocasion/kymco/super_dink_300i/2011-en-madrid-6450524.htm
Madrid;KYMCO;Quannon 125;Sport;124;azul;21655;2007;1200;http://motos.net/ocasion/kymco/quannon_125/2007-en-madrid-6336790.htm
Zaragoza;BMW;R 850 R;Naked;848;Azul;7500;2002;6900;http://motos.net/ocasion/bmw/r_850_r/2002-en-zaragoza-6466029.htm
Caceres;YAMAHA;XT 660 RE;Trail;659;azul;32000;2004;2999;http://motos.net/ocasion/yamaha/xt_660_re/2004-en-caceres-6466025.htm
Toledo;KYMCO;Venox 250;Custom;249;;20000;2007;1800;http://motos.net/ocasion/kymco/venox_250/2007-en-toledo-6466017.htm
Madrid;KYMCO;Agility CITY 125;Scooter 125cc;125;;39514;2009;1100;http://motos.net/ocasion/kymco/agility_city_125/2009-en-madrid-6281699.htm
Madrid;GILERA;Storm 50;Scooters 50cc;49;Rojo;47475;2011;750;http://motos.net/ocasion/gilera/storm_50/2011-en-madrid-6368434.htm
Madrid;SUZUKI;BURGMAN 400 ABS;Scooters +125cc;400;Negro;53000;2011;3800;http://motos.net/ocasion/suzuki/burgman_400_abs/2011-en-madrid-6466059.htm
Madrid;DERBI;BOULEVARD 200;Scooters +125cc;197;negro;17708;2013;1100;http://motos.net/ocasion/derbi/boulevard_200/2013-en-madrid-6344470.htm
Segovia;KTM;1190 Adventure;Trail;1195;naranja;31000;2013;11500;http://motos.net/ocasion/ktm/1190_adventure/2013-en-segovia-6426255.htm
Madrid;DERBI;BOULEVARD 125 4T;Scooter 125cc;124;negro;7982;2011;1400;http://motos.net/ocasion/derbi/boulevard_125_4t/2011-en-madrid-6344469.htm
Madrid;DAELIM;NS 125;Scooter 125cc;125;burdeos;7665;2008;1500;http://motos.net/ocasion/daelim/ns_125/2008-en-madrid-6419398.htm
Madrid;APRILIA;SR 50;Scooters 50cc;50;;17719;2005;800;http://motos.net/ocasion/aprilia/sr_50/2005-en-madrid-6134885.htm
Madrid;DERBI;GPR 125 4T 4V;Sport;124;TODOS;1;2013;3699;http://motos.net/ocasion/derbi/gpr_125_4t_4v/2013-en-madrid-5899696.htm
Madrid;VESPA;Primavera;Scooter 125cc;124;AZUL;15000;2014;2490;http://motos.net/ocasion/vespa/primavera/125ie_3v-2014-en-madrid-6466048.htm
Madrid;YAMAHA;MT-125 ABS;Naked;125;TODOS;;2017;4849;http://motos.net/ocasion/yamaha/mt__125_abs/2017-en-madrid-6424053.htm
Malaga;VESPA;Gran Turismo 200;Scooters +125cc;198;negro;9289;2006;2999;http://motos.net/ocasion/vespa/gran_turismo_200/2006-en-malaga-6457513.htm
Madrid;YAMAHA;YZF R1;Sport;998;TODOS;;2017;21499;http://motos.net/ocasion/yamaha/yzf_r1/2017-en-madrid-6424067.htm
Malaga;ROYAL ENFIELD;Bullet Classic;Turismo;499;verde;7023;2016;3299;http://motos.net/ocasion/royal_enfield/bullet_classic/500-2016-en-malaga-6457508.htm
Barcelona;GAS GAS;EC 300 SIX DAYS;Enduro;297;;5500;2008;2600;http://motos.net/ocasion/gas_gas/ec_300_six_days/2008-en-barcelona-6432916.htm
Navarra;PEUGEOT;Citystar 200i;Scooters +125cc;200;NEGRA;15000;2013;1550;http://motos.net/ocasion/peugeot/citystar_200i/2013-en-navarra-6466036.htm
Madrid;YAMAHA;T-Max 530;Scooters +125cc;530;NEGRO;23639;2015;9190;http://motos.net/ocasion/yamaha/t__max_530/iron_max-2015-en-madrid-6400106.htm
Malaga;HYOSUNG;GT 250i COMET;Naked;249;blanco;23656;2009;1999;http://motos.net/ocasion/hyosung/gt_250i_comet/2009-en-malaga-6457515.htm
Malaga;HONDA;VFR 1200 F DCT;Turismo;1237;negro;78000;2011;9999;http://motos.net/ocasion/honda/vfr_1200_f_dct/2011-en-malaga-6251452.htm
Madrid;YAMAHA;FZ6 S S2 ABS;Turismo;600;;79811;2007;3290;http://motos.net/ocasion/yamaha/fz6_s_s2_abs/2007-en-madrid-6449552.htm
Madrid;SUZUKI;BURGMAN 200 Executive;Scooters +125cc;200;;41258;2012;2490;http://motos.net/ocasion/suzuki/burgman_200_executive/2012-en-madrid-6461092.htm
Murcia;HONDA;VT 750 C SHADOW;Custom;745;Negra;31400;2003;4199;http://motos.net/ocasion/honda/vt_750_c_shadow/2003-en-murcia-6466033.htm
Malaga;HONDA;NT 650 V DEAUVILLE;Turismo;647;plata;131452;2005;2499;http://motos.net/ocasion/honda/nt_650_v_deauville/2005-en-malaga-6441629.htm
Madrid;KAWASAKI;Z 800e ABS;Naked;800;;13000;2016;7190;http://motos.net/ocasion/kawasaki/z_800e_abs/2016-en-madrid-6464276.htm
Madrid;KAWASAKI;J 300;Scooters +125cc;299;;18517;2015;3490;http://motos.net/ocasion/kawasaki/j_300/2015-en-madrid-6464278.htm
Madrid;BMW;R 1200 GS 105cv;Trail;1170;;89702;2009;9590;http://motos.net/ocasion/bmw/r_1200_gs_105cv/2009-en-madrid-6456055.htm
Murcia;SUZUKI;GS 500F;Turismo;487;NEGRA;13001;2006;1799;http://motos.net/ocasion/suzuki/gs_500f/2006-en-murcia-6356725.htm
Valencia;HONDA;CBR 500R;Sport;471;negro;1;2014;5310;http://motos.net/ocasion/honda/cbr_500r/2014-en-valencia-6443623.htm
Madrid;APRILIA;Compay 125 Custom;Scooter 125cc;124;;35328;2007;1299;http://motos.net/ocasion/aprilia/compay_125_custom/2007-en-madrid-6350763.htm
Valencia;INDIAN;Chief;Custom;1811;NEGRO;;2015;24990;http://motos.net/ocasion/indian/chief/vintage-2015-en-valencia-5876257.htm
Valencia;HARLEY DAVIDSON;Sportster 883 Custom;Custom;883;;21180;2007;6400;http://motos.net/ocasion/harley_davidson/sportster_883_custom/2007-en-valencia-6455857.htm
Barcelona;SUZUKI;GS 500 E;Naked;487;;72300;2001;1400;http://motos.net/ocasion/suzuki/gs_500_e/2001-en-barcelona-6465996.htm
Burgos;YAMAHA;V-Max 1700;Naked;1679;;11613;2010;14999;http://motos.net/ocasion/yamaha/v__max_1700/2010-en-burgos-6466008.htm
Madrid;BMW;C 650 GT;Scooters +125cc;647;Gris;1500;2015;8950;http://motos.net/ocasion/bmw/c_650_gt/2015-en-madrid-6422933.htm
Malaga;DUCATI;999 Biposto;Sport;998;Roja;22600;2003;6000;http://motos.net/ocasion/ducati/999_biposto/2003-en-malaga-6465983.htm
Madrid;DAELIM;Roadwin 125;Naked;124;Blanco;8500;2015;2150;http://motos.net/ocasion/daelim/roadwin_125/2015-en-madrid-6465759.htm
Madrid;BMW;R 1200 R;Naked;1170;;16000;2012;8800;http://motos.net/ocasion/bmw/r_1200_r/2012-en-madrid-6465981.htm
Tarragona;HARLEY DAVIDSON;Touring Road King;Turismo;1340;plata;58000;2006;12000;http://motos.net/ocasion/harley_davidson/touring_road_king/2006-en-tarragona-6465971.htm
Madrid;HONDA;CBF 500;Naked;499;Plata;37000;2004;2200;http://motos.net/ocasion/honda/cbf_500/2004-en-madrid-6465766.htm
Madrid;INDIAN;Chief;Custom;1811;Negra;11900;2010;11500;http://motos.net/ocasion/indian/chief/vintage-2010-en-madrid-6410258.htm
Madrid;SUZUKI;Bandit 650 S;Turismo;656;NEGRO;24900;2009;4100;http://motos.net/ocasion/suzuki/bandit_650_s/2009-en-madrid-6465997.htm
Tarragona;YAMAHA;XVS 1100 A Drag Star Classic;Custom;1063;Negra;6500;2007;6500;http://motos.net/ocasion/yamaha/xvs_1100_a_drag_star_classic/2007-en-tarragona-6455080.htm
Valencia;HONDA;Integra;Scooters +125cc;745;plata;3045;2016;8286;http://motos.net/ocasion/honda/integra/2016-en-valencia-6425799.htm
Madrid;SYM;Wolf 125i 4T;Naked;125;Negro;5850;2012;1799;http://motos.net/ocasion/sym/wolf_125i_4t/2012-en-madrid-6465994.htm
Barcelona;KTM;DUKE 200;Naked;200;NARANJA Y NEGRO;18000;2012;2800;http://motos.net/ocasion/ktm/duke_200/2012-en-barcelona-6290659.htm
Barcelona;VICTORY;Magnum;Custom;1731;GRIS;4000;2016;22500;http://motos.net/ocasion/victory/magnum/2016-en-barcelona-6302081.htm
Madrid;SUZUKI;VanVan 125;Naked;124;Azul;2399;2008;2399;http://motos.net/ocasion/suzuki/vanvan_125/2008-en-madrid-6465990.htm
Valencia;KYMCO;Xciting 500 R ABS;Scooters +125cc;498;gris;43000;2009;2300;http://motos.net/ocasion/kymco/xciting_500_r_abs/2009-en-valencia-6465984.htm
Madrid;YAMAHA;T-Max 500;Scooters +125cc;499;Black Max;31000;2008;4900;http://motos.net/ocasion/yamaha/t__max_500/2008-en-madrid-6465977.htm
Madrid;TRIUMPH;SPEED TRIPLE;Naked;1050;negro;32000;2010;6100;http://motos.net/ocasion/triumph/speed_triple/2010-en-madrid-6465969.htm
Castellon;KTM;EXC 450;Enduro;447;;7800;2009;3900;http://motos.net/ocasion/ktm/exc_450/2009-en-castellon-6465942.htm
Barcelona;HARLEY DAVIDSON;Sportster 883 Custom;Custom;883;NEGRO;17547;2007;6499;http://motos.net/ocasion/harley_davidson/sportster_883_custom/2007-en-barcelona-6357717.htm
Madrid;KEEWAY;RKV 125;Naked;124;Blanco;27980;2014;1299;http://motos.net/ocasion/keeway/rkv_125/2014-en-madrid-6465975.htm
Madrid;KAWASAKI;Z 750;Naked;748;Negro;28162;2011;4699;http://motos.net/ocasion/kawasaki/z_750/2011-en-madrid-6465972.htm
Valencia;HYOSUNG;GT 125R COMET;Sport;125;blanco, negro y blanco/rojo;;2014;2999;http://motos.net/ocasion/hyosung/gt_125r_comet/2014-en-valencia-5438871.htm
Barcelona;HONDA;SCOOPY SH150i;Scooters +125cc;152;negro;55000;2005;950;http://motos.net/ocasion/honda/scoopy_sh150i/2005-en-barcelona-6465791.htm
Madrid;PIAGGIO;LIBERTY 50 2T;Scooters 50cc;49;;36000;2003;750;http://motos.net/ocasion/piaggio/liberty_50_2t/2003-en-madrid-6353500.htm
Murcia;KAWASAKI;NINJA ZX-6R 636 KTR Edition;Sport;636;verde;22000;2007;3199;http://motos.net/ocasion/kawasaki/ninja_zx__6r_636_ktr_edition/2007-en-murcia-6465955.htm
A Coruna;HONDA;VFR 800 FI ABS;Sport;781;gris plomo;65000;2010;6800;http://motos.net/ocasion/honda/vfr_800_fi_abs/2010-en-a_coruna-6465931.htm
Barcelona;BMW;R 1200 GS 105cv;Trail;1170;blanca;48000;2009;9000;http://motos.net/ocasion/bmw/r_1200_gs_105cv/2009-en-barcelona-6465826.htm
Sta. C. Tenerife;HARLEY DAVIDSON;Sportster 1200 Custom;Custom;1202;Negro;13000;2004;7400;http://motos.net/ocasion/harley_davidson/sportster_1200_custom/2004-en-sta_c_tenerife-6465788.htm
Cadiz;YAMAHA;XVS 950 A Midnight Star;Custom;942;negra;30000;2009;5500;http://motos.net/ocasion/yamaha/xvs_950_a_midnight_star/2009-en-cadiz-6465915.htm
Barcelona;HONDA;CB 600F ABS HORNET;Naked;599;;42000;2007;2900;http://motos.net/ocasion/honda/cb_600f_abs_hornet/2007-en-barcelona-6465907.htm
Barcelona;HONDA;NC 750 X;Trail;745;blanca;8400;2016;7000;http://motos.net/ocasion/honda/nc_750_x/dtc-2016-en-barcelona-6465857.htm
Castellon;BMW;F 800 GS;Trail;798;;31000;2013;8000;http://motos.net/ocasion/bmw/f_800_gs/2013-en-castellon-6465866.htm
Barcelona;HARLEY DAVIDSON;Sportster XL1200 CA;Custom;1200;Rojo y negro;9200;2013;10500;http://motos.net/ocasion/harley_davidson/sportster_xl1200_ca/2013-en-barcelona-6407890.htm
Madrid;KAWASAKI;ER 6N;Naked;649;NEGRO;76000;2008;2900;http://motos.net/ocasion/kawasaki/er_6n/2008-en-madrid-6434637.htm
Alicante;SUZUKI;VanVan 125;Naked;125;;1967;2016;3000;http://motos.net/ocasion/suzuki/vanvan_125/2016-en-alicante-6465946.htm
Madrid;YAMAHA;XJ6 Diversion S ABS;Turismo;600;NEGRA- GRIS;30000;2010;4500;http://motos.net/ocasion/yamaha/xj6_diversion_s_abs/2010-en-madrid-6409476.htm
Madrid;KAWASAKI;Z 750;Naked;748;GRIS;40000;2006;3200;http://motos.net/ocasion/kawasaki/z_750/2006-en-madrid-6416205.htm
Madrid;YAMAHA;T-Max 500;Scooters +125cc;499;AZUL;35000;2007;4600;http://motos.net/ocasion/yamaha/t__max_500/2007-en-madrid-6408585.htm
Madrid;TRIUMPH;SCRAMBLER EFI;Naked;865;AZUL;2000;2015;8500;http://motos.net/ocasion/triumph/scrambler_efi/2015-en-madrid-6318784.htm
Madrid;SUZUKI;BURGMAN 650 Executive;Scooters +125cc;638;BLANCA;11000;2014;8000;http://motos.net/ocasion/suzuki/burgman_650_executive/2014-en-madrid-6396654.htm
Valencia;BMW;F 650 GS 30 YEARS GS;Trail;798;BLANCO;49293;2011;6900;http://motos.net/ocasion/bmw/f_650_gs_30_years_gs/2011-en-valencia-6435120.htm
Madrid;MV AGUSTA;Turismo Veloce 800;Turismo;798;ROJO;12000;2015;13000;http://motos.net/ocasion/mv_agusta/turismo_veloce_800/2015-en-madrid-6461161.htm
Valencia;BMW;R 1150 R;Naked;1130;negro;44500;2006;6500;http://motos.net/ocasion/bmw/r_1150_r/2006-en-valencia-6410959.htm
Madrid;KAWASAKI;ZX 6R;Sport;599;VERDE;16000;2008;4900;http://motos.net/ocasion/kawasaki/zx_6r/2008-en-madrid-6447402.htm
Alicante;KAWASAKI;Z 750;Naked;748;;13144;2006;3500;http://motos.net/ocasion/kawasaki/z_750/2006-en-alicante-6465943.htm
Valencia;BMW;R 1150 R;Naked;1130;plata;49784;2004;4990;http://motos.net/ocasion/bmw/r_1150_r/2004-en-valencia-6381137.htm
Valencia;HONDA;XL 125 Varadero;Trail;124;GRIS;28150;2006;2490;http://motos.net/ocasion/honda/xl_125_varadero/2006-en-valencia-6453595.htm
Madrid;HONDA;Transalp XL 700 V ABS;Trail;680;ORO;20000;2008;4900;http://motos.net/ocasion/honda/transalp_xl_700_v_abs/2008-en-madrid-6351767.htm
Valencia;KAWASAKI;VERSYS 650;Trail;649;AZUL;29513;2009;4490;http://motos.net/ocasion/kawasaki/versys_650/2009-en-valencia-6435122.htm
Valencia;TRIUMPH;TIGER 800 ABS;Trail;799;Azul;42929;2014;7990;http://motos.net/ocasion/triumph/tiger_800_abs/2014-en-valencia-6449570.htm
Valencia;VESPA;GTS 300 ie Super;Scooters +125cc;278;BLANCO;5438;2010;3900;http://motos.net/ocasion/vespa/gts_300_ie_super/2010-en-valencia-6440036.htm
Valencia;YAMAHA;FZ6 S;Turismo;600;Gris/Negro;51463;2005;2490;http://motos.net/ocasion/yamaha/fz6_s/2005-en-valencia-6395663.htm
Valencia;YAMAHA;X MAX 250;Scooters +125cc;249;NEGRO;53742;2006;1750;http://motos.net/ocasion/yamaha/x_max_250/2006-en-valencia-6411087.htm
Valencia;KAWASAKI;Eliminator BN 125;Custom;124;AZUL;13477;2006;1750;http://motos.net/ocasion/kawasaki/eliminator_bn_125/2006-en-valencia-6442357.htm
Valencia;HONDA;SCOOPY SH125i ABS Top Box;Scooter 125cc;125;gris metalizado;2012;2014;2990;http://motos.net/ocasion/honda/scoopy_sh125i_abs_top_box/2014-en-valencia-6442474.htm
Valencia;HONDA;NT 700 V DEAUVILLE ABS;Turismo;680;rojo;32870;2010;6490;http://motos.net/ocasion/honda/nt_700_v_deauville_abs/2010-en-valencia-6433892.htm
Valencia;HONDA;NSS 300 Forza;Scooters +125cc;278;;29297;2014;3490;http://motos.net/ocasion/honda/nss_300_forza/2014-en-valencia-6442516.htm
Valencia;BMW;R 1150 R;Naked;1130;NEGRO;18543;2005;5990;http://motos.net/ocasion/bmw/r_1150_r/2005-en-valencia-6438301.htm
Valencia;BMW;K 75 RT;Turismo;750;AZUL;72985;1991;2990;http://motos.net/ocasion/bmw/k_75_rt/1991-en-valencia-6442465.htm
Madrid;BMW;C1 125 Executive;Scooter 125cc;125;negro;5500;2003;3900;http://motos.net/ocasion/bmw/c1_125_executive/2003-en-madrid-6465930.htm
Girona;KYMCO;Grand Dink 125;Scooter 125cc;125;Blanco;2900;2016;2800;http://motos.net/ocasion/kymco/grand_dink_125/2016-en-girona-6356610.htm
Barcelona;BMW;F 800 GS;Trail;798;GRIS;49800;2008;6449;http://motos.net/ocasion/bmw/f_800_gs/2008-en-barcelona-6399874.htm
Valencia;KTM;1190 Adventure;Trail;1195;negro;9955;2014;12990;http://motos.net/ocasion/ktm/1190_adventure/2014-en-valencia-6444480.htm
Tarragona;YAMAHA;YZF R6;Sport;599;Rojo, Blanco i Negro;51155;1999;2999;http://motos.net/ocasion/yamaha/yzf_r6/1999-en-tarragona-6465908.htm
