city;brand;model;type;cc;color;km;year;price;url
Alicante;VESPA;P 200 E;Scooter 125cc;150;rojo;60000;1982;1000;http://motos.net/ocasion/vespa/p_200_e/1982-en-alicante-6466223.htm
Murcia;HONDA;CB 500 X;Trail;471;Negro mate;1400;2017;5500;http://motos.net/ocasion/honda/cb_500_x/2017-en-murcia-6466202.htm
Lugo;RIEJU;RS2 125;Sport;125;blanco y negro;12000;2008;1200;http://motos.net/ocasion/rieju/rs2_125/2008-en-lugo-6466200.htm
Vizcaya;HONDA;Shadow 750 RS;Custom;745;blanco y verde;37000;1998;3500;http://motos.net/ocasion/honda/shadow_750_rs/1998-en-vizcaya-6466198.htm
Ciudad Real;HUSQVARNA;701 Supermoto;Supermotard;690;Blanca y Azul;7700;2016;7500;http://motos.net/ocasion/husqvarna/701_supermoto/2016-en-ciudad_real-6466186.htm
Barcelona;SUZUKI;TU 250 X;Turismo;249;;1700;1997;2500;http://motos.net/ocasion/suzuki/tu_250_x/1997-en-barcelona-6466180.htm
Sevilla;SUZUKI;V-Strom 650;Trail;645;;31250;2004;3100;http://motos.net/ocasion/suzuki/v__strom_650/2004-en-sevilla-6466177.htm
Girona;KAWASAKI;VERSYS 650;Trail;649;Negra;12000;2013;4500;http://motos.net/ocasion/kawasaki/versys_650/2013-en-girona-6466166.htm
Madrid;SUZUKI;Intruder C800;Custom;805;;20000;2011;5999;http://motos.net/ocasion/suzuki/intruder_c800/2011-en-madrid-6456961.htm
Alicante;SUZUKI;Marauder 250;Custom;249;Verde;26000;1999;1000;http://motos.net/ocasion/suzuki/marauder_250/1999-en-alicante-6466147.htm
Madrid;YAMAHA;TMAX;Scooters +125cc;530;;3000;2015;9799;http://motos.net/ocasion/yamaha/tmax/2015-en-madrid-6458414.htm
Madrid;YAMAHA;MT-125;Naked;124;;;2017;4649;http://motos.net/ocasion/yamaha/mt__125/2017-en-madrid-6362642.htm
Madrid;SUZUKI;Intruder M800;Custom;800;;;2017;7999;http://motos.net/ocasion/suzuki/intruder_m800/2017-en-madrid-6371896.htm
Madrid;APRILIA;SRV 850 ABS/ATC;Scooters +125cc;849;OPORTUNIDAD...!!!;12000;2015;8250;http://motos.net/ocasion/aprilia/srv_850_abs/atc/2015-en-madrid-6451131.htm
Murcia;YAMAHA;X MAX 125;Scooter 125cc;125;GRIS MATE;5630;2015;3300;http://motos.net/ocasion/yamaha/x_max_125/2015-en-murcia-6466232.htm
Valencia;HONDA;SH 300i ABS;Scooters +125cc;279;blanco;8800;2015;4400;http://motos.net/ocasion/honda/sh_300i_abs/top_box-2015-en-valencia-6452775.htm
Valencia;HONDA;SILVER WING 400;Scooters +125cc;398;PLATA;22739;2007;3295;http://motos.net/ocasion/honda/silver_wing_400/2007-en-valencia-6447325.htm
Valencia;HONDA;PCX 125;Scooter 125cc;125;blanco;1651;2015;2295;http://motos.net/ocasion/honda/pcx_125/2015-en-valencia-6441639.htm
Valencia;HONDA;CRF1000L Africa Twin;Trail;998;NEGRA;24000;2016;10999;http://motos.net/ocasion/honda/crf1000l_africa_twin/abs-2016-en-valencia-6458636.htm
Barcelona;BMW;R 1200 GS Adventure;Trail;1170;AZUL OCEANO;22533;2015;19500;http://motos.net/ocasion/bmw/r_1200_gs_adventure/2015-en-barcelona-6447638.htm
Barcelona;BMW;C 650;Scooters +125cc;647;NEGRO TORMENTO;80;2017;11000;http://motos.net/ocasion/bmw/c_650/sport-2017-en-barcelona-6441617.htm
Barcelona;BMW;F 800 R;Naked;800;BLANCO ALPINO/NEGRO BRILLANTE;36905;2011;5900;http://motos.net/ocasion/bmw/f_800_r/2011-en-barcelona-6441634.htm
Barcelona;BMW;F 800 GT;Turismo;798;BLANCA;10000;2016;9500;http://motos.net/ocasion/bmw/f_800_gt/2016-en-barcelona-6401847.htm
Barcelona;BMW;C 650 Sport;Scooters +125cc;647;NARANJA;3907;2016;9500;http://motos.net/ocasion/bmw/c_650_sport/2016-en-barcelona-6401829.htm
Barcelona;BMW;C 600 Sport;Scooters +125cc;647;AZUL;34625;2013;6600;http://motos.net/ocasion/bmw/c_600_sport/2013-en-barcelona-6394969.htm
Barcelona;BMW;C 600 Sport;Scooters +125cc;647;NEGRO;24483;2013;7000;http://motos.net/ocasion/bmw/c_600_sport/2013-en-barcelona-6394963.htm
Barcelona;BMW;R 1200 GS;Trail;1170;GRIS;114505;2006;7000;http://motos.net/ocasion/bmw/r_1200_gs/2006-en-barcelona-6366877.htm
Barcelona;HONDA;CB 1000R;Naked;998;DORADO;11057;2014;8500;http://motos.net/ocasion/honda/cb_1000r/2014-en-barcelona-6306531.htm
Barcelona;TRIUMPH;ROCKET III Roadster ABS;Custom;2294;NEGRO;49456;2012;11900;http://motos.net/ocasion/triumph/rocket_iii_roadster_abs/2012-en-barcelona-6463348.htm
Barcelona;BMW;K 1300 S;Sport;1293;N38 M - Gris claro metalizado;41790;2011;10900;http://motos.net/ocasion/bmw/k_1300_s/2011-en-barcelona-6463316.htm
Barcelona;BMW;C 600 Sport;Scooters +125cc;647;N0B U - BLANCO ALPINO/AZUL LUP;41086;2014;6000;http://motos.net/ocasion/bmw/c_600_sport/edicion_especial-2014-en-barcelona-6463205.htm
Barcelona;DUCATI;MONSTER 696;Naked;696;roja;15308;2011;6000;http://motos.net/ocasion/ducati/monster_696/2011-en-barcelona-6456743.htm
Barcelona;BMW;R 1200 RT;Turismo;1170;AZUL OCEANO;41925;2014;16975;http://motos.net/ocasion/bmw/r_1200_rt/2014-en-barcelona-6455634.htm
Valencia;HONDA;CB 500F ABS;Naked;471;TRICOLOR;1;2016;5900;http://motos.net/ocasion/honda/cb_500f_abs/2016-en-valencia-6250643.htm
Valencia;DAELIM;Roadwin 125R Fi;Sport;125;BLANCO;2900;2008;1390;http://motos.net/ocasion/daelim/roadwin_125r_fi/2008-en-valencia-6451932.htm
Valencia;SYM;JOYMAX 300i ABS;Scooters +125cc;278;TODOS;1;2016;4399;http://motos.net/ocasion/sym/joymax_300i_abs/ss_sport-2016-en-valencia-6271781.htm
Barcelona;BMW;R 1200 GS;Trail;1170;NEGRO;59000;2004;7500;http://motos.net/ocasion/bmw/r_1200_gs/2004-en-barcelona-6466218.htm
Valencia;PIAGGIO;beverly 250;Scooters +125cc;244;roja;25000;2003;1200;http://motos.net/ocasion/piaggio/beverly_250/2003-en-valencia-6439438.htm
Madrid;KAWASAKI;VN 900 CLASSIC;Custom;903;NEGRO;20960;2010;5390;http://motos.net/ocasion/kawasaki/vn_900_classic/2010-en-madrid-6466214.htm
Madrid;BMW;R 1200 R;Naked;1170;NEGRO;120560;2011;5990;http://motos.net/ocasion/bmw/r_1200_r/2011-en-madrid-6411050.htm
Valencia;KYMCO;Venox 250i;Custom;249;negro;23000;2007;1400;http://motos.net/ocasion/kymco/venox_250i/2007-en-valencia-6446775.htm
Valencia;KYMCO;Super Dink 300i;Scooters +125cc;300;TODOS LOS DE LA GAMA;;2016;4299;http://motos.net/ocasion/kymco/super_dink_300i/2016-en-valencia-6130087.htm
Madrid;TRIUMPH;DAYTONA 955 i;Sport;955;NEGRO;45893;2004;2990;http://motos.net/ocasion/triumph/daytona_955_i/2004-en-madrid-6404309.htm
Malaga;YAMAHA;XT 660 R;Trail;660;NEGRO;5311;2007;3900;http://motos.net/ocasion/yamaha/xt_660_r/2007-en-malaga-6466213.htm
Valencia;KYMCO;Grand Dink 125;Scooter 125cc;125;TODOS;;2016;3699;http://motos.net/ocasion/kymco/grand_dink_125/2016-en-valencia-6271730.htm
Madrid;SUZUKI;BURGMAN 650;Scooters +125cc;650;GRIS;77000;2005;2990;http://motos.net/ocasion/suzuki/burgman_650/2005-en-madrid-6392537.htm
Madrid;YAMAHA;T-Max 500;Scooters +125cc;499;GRIS;53983;2008;5490;http://motos.net/ocasion/yamaha/t__max_500/2008-en-madrid-6382735.htm
Valencia;KAWASAKI;VERSYS 650;Trail;649;negro;38700;2006;3300;http://motos.net/ocasion/kawasaki/versys_650/2006-en-valencia-6440413.htm
Alicante;APRILIA;Scarabeo 500 Light;Scooters +125cc;460;Gris;27500;2006;2500;http://motos.net/ocasion/aprilia/scarabeo_500_light/2006-en-alicante-6449183.htm
Vizcaya;HONDA;VT 750 C SHADOW;Custom;745;negro;23000;2000;3300;http://motos.net/ocasion/honda/vt_750_c_shadow/2000-en-vizcaya-6377467.htm
Valencia;DAELIM;S2 125 FI;Scooter 125cc;125;blanco;13700;2012;1490;http://motos.net/ocasion/daelim/s2_125_fi/2012-en-valencia-6456528.htm
Navarra;SUZUKI;LS 650 Savage;Custom;650;NEGRA;14000;1993;1990;http://motos.net/ocasion/suzuki/ls_650_savage/1993-en-navarra-6466204.htm
Guipuzcoa;HARLEY DAVIDSON;Touring Road King Classic;Turismo;1584;Black Vivid;18000;2014;19800;http://motos.net/ocasion/harley_davidson/touring_road_king_classic/2014-en-guipuzcoa-6430119.htm
Guipuzcoa;KAWASAKI;Z 750;Naked;748;VERDE;38000;2007;4000;http://motos.net/ocasion/kawasaki/z_750/2007-en-guipuzcoa-6460155.htm
Barcelona;DUCATI;MONSTER 1100 Evo;Naked;1098;;12623;2012;8495;http://motos.net/ocasion/ducati/monster_1100_evo/2012-en-barcelona-6466201.htm
Guipuzcoa;KAWASAKI;ER 6F ABS;Turismo;649;BLANCO;37800;2011;4800;http://motos.net/ocasion/kawasaki/er_6f_abs/2011-en-guipuzcoa-6402715.htm
Girona;HARLEY DAVIDSON;Softail Heritage Softail Classic;Custom;1584;Negro;50000;2006;14000;http://motos.net/ocasion/harley_davidson/softail_heritage_softail_classic/2006-en-girona-6393425.htm
Barcelona;BMW;G 650 GS;Trail;652;N61 U - Blanco Aura/Asto negro;25527;2013;5975;http://motos.net/ocasion/bmw/g_650_gs/2013-en-barcelona-6466197.htm
