type;type_score
naked;260
trail;230
custom;280
scooter_125cc;100
sport;310
scooters_+125cc;120
turismo;340
enduro;160
cross;180
trial;140
ciclomotor;30
con_marchas;60
supermotard;200
scooters_50cc;40
infantil;10
